State,,County Name,,,,Median Home Price Q4 2023,,,"Monthly Payment Q4
2023",,,"Monthly Payment
Q4 2022",,,,,
Alabama,,Autauga County,,,,"$198,560",,,"$1,230",,,"$1,110",,,,,
,,Baldwin County,,,,"$316,990",,,"$1,960",,,"$1,770",,,,,
,,Barbour County,,,,"$106,880",,,$660,,,$600,,,,,
,,Bibb County,,,,"$126,950",,,$780,,,$700,,,,,
,,Blount County,,,,"$168,910",,,"$1,040",,,$930,,,,,
,,Bullock County,,,,"$91,270",,,$560,,,$510,,,,,
,,Butler County,,,,"$98,660",,,$610,,,$550,,,,,
,,Calhoun County,,,,"$159,440",,,$980,,,$860,,,,,
,,Chambers County,,,,"$121,660",,,$750,,,$680,,,,,
,,Cherokee County,,,,"$165,160",,,"$1,020",,,$920,,,,,
,,Chilton County,,,,"$143,760",,,$890,,,$790,,,,,
,,Choctaw County,,,,"$105,730",,,$650,,,$590,,,,,
,,Clarke County,,,,"$131,330",,,$810,,,$730,,,,,
,,Clay County,,,,"$149,960",,,$930,,,$840,,,,,
,,Cleburne County,,,,"$137,270",,,$850,,,$770,,,,,
,,Coffee County,,,,"$168,800",,,"$1,040",,,$940,,,,,
,,Colbert County,,,,"$160,040",,,$990,,,$860,,,,,
,,Conecuh County,,,,"$102,820",,,$630,,,$570,,,,,
,,Coosa County,,,,"$113,960",,,$700,,,$640,,,,,
,,Covington County,,,,"$129,360",,,$800,,,$720,,,,,
,,Crenshaw County,,,,"$104,480",,,$640,,,$580,,,,,
,,Cullman County,,,,"$192,320",,,"$1,190",,,"$1,070",,,,,
,,Dale County,,,,"$128,840",,,$790,,,$720,,,,,
,,Dallas County,,,,"$95,330",,,$590,,,$530,,,,,
,,DeKalb County,,,,"$164,120",,,"$1,010",,,$920,,,,,
,,Elmore County,,,,"$211,920",,,"$1,310",,,"$1,190",,,,,
,,Escambia County,,,,"$126,960",,,$780,,,$710,,,,,
,,Etowah County,,,,"$189,580",,,"$1,170",,,$970,,,,,
,,Fayette County,,,,"$117,290",,,$720,,,$650,,,,,
,,Franklin County,,,,"$126,550",,,$780,,,$710,,,,,
,,Geneva County,,,,"$130,960",,,$810,,,$700,,,,,
,,Greene County,,,,"$97,040",,,$600,,,$520,,,,,
,,Hale County,,,,"$119,550",,,$740,,,$640,,,,,
,,Henry County,,,,"$143,650",,,$890,,,$770,,,,,
,,Houston County,,,,"$197,250",,,"$1,220",,,"$1,060",,,,,
,,Jackson County,,,,"$132,060",,,$810,,,$740,,,,,
,,Jefferson County,,,,"$250,730",,,"$1,550",,,"$1,380",,,,,
,,Lamar County,,,,"$112,600",,,$690,,,$630,,,,,
,,Lauderdale County,,,,"$202,930",,,"$1,250",,,"$1,090",,,,,
,,Lawrence County,,,,"$139,230",,,$860,,,$780,,,,,
,,Lee County,,,,"$277,600",,,"$1,710",,,"$1,530",,,,,
,,Limestone County,,,,"$296,370",,,"$1,830",,,"$1,650",,,,,
,,Lowndes County,,,,"$86,340",,,$530,,,$480,,,,,
,,Macon County,,,,"$97,720",,,$600,,,$550,,,,,
,,Madison County,,,,"$307,400",,,"$1,900",,,"$1,720",,,,,
,,Marengo County,,,,"$102,610",,,$630,,,$570,,,,,
,,Marion County,,,,"$108,540",,,$670,,,$610,,,,,
,,Marshall County,,,,"$193,780",,,"$1,200",,,"$1,080",,,,,
,,Mobile County,,,,"$192,260",,,"$1,190",,,"$1,050",,,,,
,,Monroe County,,,,"$113,750",,,$700,,,$630,,,,,
,,Montgomery County,,,,"$172,890",,,"$1,070",,,$970,,,,,
,,Morgan County,,,,"$215,180",,,"$1,330",,,"$1,200",,,,,
,,Perry County,,,,"$85,020",,,$520,,,$470,,,,,
,,Pickens County,,,,"$124,670",,,$770,,,$700,,,,,
,,Pike County,,,,"$150,380",,,$930,,,$840,,,,,
,,Randolph County,,,,"$161,310",,,"$1,000",,,$900,,,,,
