County Name,Median Home Price Q4 2023,Monthly Payment Q4 2023,Monthly Payment Q4 2022
"San Mateo County,  California","$1,575,350 ","$9,720 ","$9,210 "
"Santa Clara County,  California","$1,553,450 ","$9,580 ","$8,570 "
"Marin County,  California","$1,456,190 ","$8,980 ","$8,520 "
"San Francisco County,  California","$1,334,250 ","$8,230 ","$7,800 "
"Teton County,  Wyoming","$1,181,140 ","$7,290 ","$6,610 "
"Alameda County,  California","$1,084,820 ","$6,690 ","$6,340 "
"New York County,  New York","$1,075,790 ","$6,640 ","$5,840 "
"Orange County,  California","$986,450 ","$6,090 ","$5,460 "
"Falls Church city,  Virginia","$982,220 ","$6,060 ","$5,450 "
"Pitkin County,  Colorado","$953,650 ","$5,880 ","$5,300 "
"Maui County,  Hawaii","$924,750 ","$5,710 ","$5,360 "
"Santa Cruz County,  California","$924,620 ","$5,710 ","$5,890 "
"Napa County,  California","$918,940 ","$5,670 ","$5,030 "
"Honolulu County,  Hawaii","$918,310 ","$5,670 ","$5,080 "
"San Diego County,  California","$916,720 ","$5,660 ","$4,920 "
"Kings County,  New York","$908,770 ","$5,610 ","$4,940 "
"Summit County,  Utah","$907,340 ","$5,600 ","$5,200 "
"King County,  Washington","$880,720 ","$5,430 ","$5,010 "
"Arlington County,  Virginia","$867,100 ","$5,350 ","$4,810 "
"Contra Costa County,  California","$859,710 ","$5,300 ","$5,030 "
"Kauai County,  Hawaii","$856,490 ","$5,280 ","$4,960 "
"Ventura County,  California","$845,410 ","$5,220 ","$4,620 "
"Los Angeles County,  California","$844,600 ","$5,210 ","$4,680 "
"San Benito County,  California","$843,530 ","$5,200 ","$4,650 "
"San Luis Obispo County,  California","$833,780 ","$5,140 ","$4,510 "
"Sonoma County,  California","$796,560 ","$4,910 ","$4,480 "
"Summit County,  Colorado","$794,440 ","$4,900 ","$4,410 "
"Santa Barbara County,  California","$785,110 ","$4,840 ","$4,320 "
"Alexandria city,  Virginia","$783,160 ","$4,830 ","$4,350 "
"Monroe County,  Florida","$778,760 ","$4,810 ","$4,170 "
"Williamson County,  Tennessee","$766,710 ","$4,730 ","$4,300 "
"Eagle County,  Colorado","$761,410 ","$4,700 ","$4,230 "
"Monterey County,  California","$754,130 ","$4,650 ","$4,250 "
"Middlesex County,  Massachusetts","$752,180 ","$4,640 ","$4,010 "
"Boulder County,  Colorado","$748,900 ","$4,620 ","$4,320 "
"Loudoun County,  Virginia","$747,790 ","$4,610 ","$4,150 "
"District of Columbia,  District of Columbia","$744,230 ","$4,590 ","$4,130 "
"Queens County,  New York","$730,950 ","$4,510 ","$3,970 "
"Suffolk County,  Massachusetts","$729,320 ","$4,500 ","$3,890 "
"Snohomish County,  Washington","$728,520 ","$4,500 ","$4,140 "
"Fairfax County,  Virginia","$727,480 ","$4,490 ","$4,040 "
"Douglas County,  Colorado","$723,630 ","$4,460 ","$4,100 "
"Routt County,  Colorado","$723,150 ","$4,460 ","$4,020 "
"Norfolk County,  Massachusetts","$708,850 ","$4,370 ","$3,780 "
"San Juan County,  Washington","$703,440 ","$4,340 ","$3,910 "
"Placer County,  California","$700,970 ","$4,330 ","$3,960 "
"Nassau County,  New York","$699,940 ","$4,320 ","$3,800 "
"Barnstable County,  Massachusetts","$681,570 ","$4,210 ","$3,660 "
"Fairfax city,  Virginia","$679,860 ","$4,190 ","$3,770 "
"Westchester County,  New York","$678,770 ","$4,190 ","$3,690 "
"Richmond County,  New York","$676,740 ","$4,180 ","$3,680 "
"Newport County,  Rhode Island","$674,510 ","$4,160 ","$3,590 "
"El Dorado County,  California","$672,190 ","$4,150 ","$3,800 "
"Deschutes County,  Oregon","$671,120 ","$4,140 ","$3,860 "
"Broomfield County,  Colorado","$659,540 ","$4,070 ","$3,740 "
"Gallatin County,  Montana","$652,970 ","$4,030 ","$3,650 "
"Jefferson County,  Colorado","$651,350 ","$4,020 ","$3,690 "
"Wasatch County,  Utah","$648,820 ","$4,000 ","$3,610 "
"Montgomery County,  Maryland","$642,600 ","$3,960 ","$3,570 "
"Nevada County,  California","$642,140 ","$3,960 ","$3,680 "
"Elbert County,  Colorado","$638,140 ","$3,940 ","$3,620 "
"Essex County,  Massachusetts","$632,410 ","$3,900 ","$3,370 "
"Island County,  Washington","$625,130 ","$3,860 ","$3,480 "
"Solano County,  California","$624,530 ","$3,850 ","$3,520 "
"Ouray County,  Colorado","$623,430 ","$3,850 ","$3,460 "
"Bergen County,  New Jersey","$618,680 ","$3,820 ","$3,360 "
"Clackamas County,  Oregon","$617,950 ","$3,810 ","$3,560 "
"Monmouth County,  New Jersey","$616,750 ","$3,810 ","$3,350 "
"Denver County,  Colorado","$613,780 ","$3,790 ","$3,480 "
"Howard County,  Maryland","$611,930 ","$3,780 ","$3,370 "
"Yolo County,  California","$608,260 ","$3,750 ","$3,440 "
"Whatcom County,  Washington","$606,120 ","$3,740 ","$3,490 "
"Washington County,  Oregon","$592,370 ","$3,660 ","$3,420 "
"Rockland County,  New York","$590,770 ","$3,650 ","$3,210 "
"Plymouth County,  Massachusetts","$590,710 ","$3,640 ","$3,150 "
"San Miguel County,  Colorado","$586,840 ","$3,620 ","$3,260 "
"Morris County,  New Jersey","$584,460 ","$3,610 ","$3,170 "
"Suffolk County,  New York","$583,500 ","$3,600 ","$3,170 "
"Kitsap County,  Washington","$577,970 ","$3,570 ","$3,130 "
"Riverside County,  California","$577,410 ","$3,560 ","$3,230 "
"Fauquier County,  Virginia","$576,350 ","$3,560 ","$3,200 "
"Collier County,  Florida","$573,190 ","$3,540 ","$3,140 "
"Blaine County,  Idaho","$572,480 ","$3,530 ","$3,240 "
"Morgan County,  Utah","$567,660 ","$3,500 ","$3,230 "
"Forsyth County,  Georgia","$567,490 ","$3,500 ","$3,120 "
"Hudson County,  New Jersey","$562,650 ","$3,470 ","$3,060 "
"Arapahoe County,  Colorado","$562,280 ","$3,470 ","$3,190 "
"Skagit County,  Washington","$562,090 ","$3,470 ","$3,030 "
"Ada County,  Idaho","$561,630 ","$3,470 ","$3,190 "
"Flathead County,  Montana","$559,730 ","$3,450 ","$3,130 "
"Gunnison County,  Colorado","$554,330 ","$3,420 ","$3,080 "
"Travis County,  Texas","$553,750 ","$3,420 ","$3,330 "
"Utah County,  Utah","$553,330 ","$3,410 ","$3,180 "
"Sacramento County,  California","$551,530 ","$3,400 ","$3,120 "
"San Joaquin County,  California","$550,960 ","$3,400 ","$3,110 "
"Pierce County,  Washington","$550,070 ","$3,390 ","$3,130 "
"Rappahannock County,  Virginia","$547,610 ","$3,380 ","$2,960 "
"Charleston County,  South Carolina","$547,290 ","$3,380 ","$2,850 "
"Larimer County,  Colorado","$546,820 ","$3,370 ","$3,140 "
"Kootenai County,  Idaho","$546,560 ","$3,370 ","$3,180 "
"Washington County,  Utah","$544,300 ","$3,360 ","$3,070 "
"Salt Lake County,  Utah","$543,120 ","$3,350 ","$3,110 "
"Washoe County,  Nevada","$542,130 ","$3,350 ","$3,080 "
"Davis County,  Utah","$540,140 ","$3,330 ","$3,080 "
