FIPS_Code,State,Area_Name,Civilian_labor_force_2022,Employed_2022,Unemployed_2022,Unemployment_rate_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
00000,US,United States,"164,781,642","158,766,998","6,014,644",3.7,"69,717",
01000,AL,Alabama,"2,286,028","2,226,670","59,358",2.6,"53,990",100.0
01001,AL,"Autauga County, AL","26,789","26,181",608,2.3,"66,444",123.1
01003,AL,"Baldwin County, AL","102,849","100,432","2,417",2.4,"65,658",121.6
01005,AL,"Barbour County, AL","8,241","7,906",335,4.1,"38,649",71.6
01007,AL,"Bibb County, AL","8,726","8,507",219,2.5,"48,454",89.7
01009,AL,"Blount County, AL","25,796","25,222",574,2.2,"56,894",105.4
01011,AL,"Bullock County, AL","4,554","4,426",128,2.8,"32,027",59.3
01013,AL,"Butler County, AL","8,804","8,503",301,3.4,"39,442",73.1
01015,AL,"Calhoun County, AL","46,140","44,741","1,399",3.0,"48,166",89.2
01017,AL,"Chambers County, AL","15,933","15,523",410,2.6,"45,447",84.2
01019,AL,"Cherokee County, AL","11,696","11,422",274,2.3,"46,365",85.9
01021,AL,"Chilton County, AL","20,266","19,806",460,2.3,"55,142",102.1
01023,AL,"Choctaw County, AL","4,298","4,133",165,3.8,"40,601",75.2
01025,AL,"Clarke County, AL","7,694","7,309",385,5.0,"45,447",84.2
01027,AL,"Clay County, AL","6,130","5,991",139,2.3,"47,036",87.1
01029,AL,"Cleburne County, AL","6,141","5,993",148,2.4,"49,769",92.2
01031,AL,"Coffee County, AL","21,597","21,049",548,2.5,"55,052",102.0
01033,AL,"Colbert County, AL","23,842","23,120",722,3.0,"53,341",98.8
01035,AL,"Conecuh County, AL","4,242","4,092",150,3.5,"35,621",66.0
01037,AL,"Coosa County, AL","4,459","4,346",113,2.5,"45,954",85.1
01039,AL,"Covington County, AL","15,152","14,753",399,2.6,"44,188",81.8
01041,AL,"Crenshaw County, AL","5,977","5,820",157,2.6,"38,037",70.5
01043,AL,"Cullman County, AL","39,337","38,525",812,2.1,"55,036",101.9
01045,AL,"Dale County, AL","21,052","20,500",552,2.6,"50,086",92.8
01047,AL,"Dallas County, AL","13,749","13,055",694,5.0,"33,159",61.4
01049,AL,"DeKalb County, AL","31,146","30,416",730,2.3,"45,062",83.5
01051,AL,"Elmore County, AL","38,234","37,395",839,2.2,"63,147",117.0
01053,AL,"Escambia County, AL","14,231","13,789",442,3.1,"40,506",75.0
01055,AL,"Etowah County, AL","39,274","38,085","1,189",3.0,"46,308",85.8
01057,AL,"Fayette County, AL","6,591","6,411",180,2.7,"46,122",85.4
01059,AL,"Franklin County, AL","14,565","14,223",342,2.3,"45,440",84.2
01061,AL,"Geneva County, AL","11,267","10,997",270,2.4,"43,206",80.0
01063,AL,"Greene County, AL","2,740","2,620",120,4.4,"30,225",56.0
01065,AL,"Hale County, AL","5,961","5,729",232,3.9,"41,995",77.8
01067,AL,"Henry County, AL","7,053","6,862",191,2.7,"56,389",104.4
01069,AL,"Houston County, AL","48,000","46,756","1,244",2.6,"48,701",90.2
01071,AL,"Jackson County, AL","23,185","22,602",583,2.5,"46,998",87.0
01073,AL,"Jefferson County, AL","323,290","314,943","8,347",2.6,"55,210",102.3
01075,AL,"Lamar County, AL","5,724","5,569",155,2.7,"44,265",82.0
01077,AL,"Lauderdale County, AL","42,919","41,788","1,131",2.6,"52,222",96.7
01079,AL,"Lawrence County, AL","14,737","14,382",355,2.4,"55,555",102.9
01081,AL,"Lee County, AL","79,466","77,595","1,871",2.4,"54,188",100.4
01083,AL,"Limestone County, AL","48,335","47,322","1,013",2.1,"69,207",128.2
01085,AL,"Lowndes County, AL","3,506","3,324",182,5.2,"36,993",68.5
01087,AL,"Macon County, AL","7,862","7,563",299,3.8,"35,354",65.5
01089,AL,"Madison County, AL","199,231","194,989","4,242",2.1,"78,386",145.2
01091,AL,"Marengo County, AL","7,611","7,351",260,3.4,"42,048",77.9
01093,AL,"Marion County, AL","13,808","13,464",344,2.5,"44,636",82.7
01095,AL,"Marshall County, AL","45,464","44,531",933,2.1,"50,858",94.2
01097,AL,"Mobile County, AL","192,312","186,073","6,239",3.2,"49,848",92.3
01099,AL,"Monroe County, AL","7,300","7,001",299,4.1,"40,997",75.9
01101,AL,"Montgomery County, AL","107,183","103,886","3,297",3.1,"50,645",93.8
01103,AL,"Morgan County, AL","60,820","59,548","1,272",2.1,"56,340",104.4
01105,AL,"Perry County, AL","3,083","2,921",162,5.3,"31,522",58.4
01107,AL,"Pickens County, AL","7,681","7,431",250,3.3,"43,926",81.4
01109,AL,"Pike County, AL","16,115","15,674",441,2.7,"38,945",72.1
01111,AL,"Randolph County, AL","9,692","9,454",238,2.5,"45,889",85.0
01113,AL,"Russell County, AL","23,708","23,091",617,2.6,"44,849",83.1
01115,AL,"St. Clair County, AL","42,213","41,285",928,2.2,"63,015",116.7
01117,AL,"Shelby County, AL","121,349","119,126","2,223",1.8,"85,457",158.3
01119,AL,"Sumter County, AL","4,597","4,435",162,3.5,"29,490",54.6
01121,AL,"Talladega County, AL","36,362","35,239","1,123",3.1,"47,331",87.7
01123,AL,"Tallapoosa County, AL","17,593","17,091",502,2.9,"47,444",87.9
01125,AL,"Tuscaloosa County, AL","103,432","100,816","2,616",2.5,"56,274",104.2
01127,AL,"Walker County, AL","25,568","24,864",704,2.8,"46,343",85.8
01129,AL,"Washington County, AL","6,565","6,326",239,3.6,"49,795",92.2
01131,AL,"Wilcox County, AL","2,528","2,331",197,7.8,"30,071",55.7
01133,AL,"Winston County, AL","10,271","10,020",251,2.4,"47,176",87.4
02000,AK,Alaska,"356,799","342,400","14,399",4.0,"78,437",100.0
02013,AK,"Aleutians East Borough, AK","2,434","2,386",48,2.0,"71,492",91.1
02016,AK,"Aleutians West Census Area, AK","3,480","3,373",107,3.1,"86,050",109.7
02020,AK,"Anchorage Borough/municipality, AK","151,342","146,302","5,040",3.3,"86,152",109.8
02050,AK,"Bethel Census Area, AK","6,680","6,091",589,8.8,"54,849",69.9
02060,AK,"Bristol Bay Borough, AK",422,404,18,4.3,"88,516",112.8
02063,AK,"Chugach Census Area, AK","3,387","3,290",97,2.9,"88,029",112.2
02066,AK,"Copper River Census Area, AK","1,405","1,275",130,9.3,"61,288",78.1
02068,AK,"Denali Borough, AK",997,934,63,6.3,"85,251",108.7
02070,AK,"Dillingham Census Area, AK","1,665","1,572",93,5.6,"58,389",74.4
02090,AK,"Fairbanks North Star Borough, AK","45,385","43,716","1,669",3.7,"76,754",97.9
02100,AK,"Haines Borough, AK","1,058",988,70,6.6,"63,155",80.5
02105,AK,"Hoonah-Angoon Census Area, AK","1,251","1,181",70,5.6,"56,555",72.1
02110,AK,"Juneau Borough/city, AK","17,387","16,904",483,2.8,"89,922",114.6
02122,AK,"Kenai Peninsula Borough, AK","28,188","26,918","1,270",4.5,"71,111",90.7
02130,AK,"Ketchikan Gateway Borough, AK","6,786","6,529",257,3.8,"73,260",93.4
02150,AK,"Kodiak Island Borough, AK","5,983","5,723",260,4.3,"80,863",103.1
02158,AK,"Kusilvak Census Area, AK","2,254","1,963",291,12.9,"38,203",48.7
02164,AK,"Lake and Peninsula Borough, AK",638,601,37,5.8,"51,205",65.3
02170,AK,"Matanuska-Susitna Borough, AK","49,942","47,639","2,303",4.6,"80,164",102.2
02180,AK,"Nome Census Area, AK","4,138","3,854",284,6.9,"65,578",83.6
02185,AK,"North Slope Borough, AK","2,969","2,820",149,5.0,"95,041",121.2
02188,AK,"Northwest Arctic Borough, AK","2,787","2,537",250,9.0,"67,586",86.2
02195,AK,"Petersburg Borough, AK","1,446","1,362",84,5.8,"71,878",91.6
02198,AK,"Prince of Wales-Hyder Census Area, AK","2,693","2,545",148,5.5,"56,226",71.7
02201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",,,,,,
02220,AK,"Sitka Borough/city, AK","4,529","4,404",125,2.8,"78,248",99.8
02230,AK,"Skagway Municipality, AK",745,695,50,6.7,"65,712",83.8
02232,AK,"Skagway-Hoonah-Angoon Census Area, AK",,,,,,
02240,AK,"Southeast Fairbanks Census Area, AK","3,252","3,083",169,5.2,"68,347",87.1
02261,AK,"Valdez-Cordova Census Area, AK",,,,,,
02275,AK,"Wrangell Borough/city, AK",886,841,45,5.1,"64,732",82.5
02280,AK,"Wrangell-Petersburg Census Area, AK",,,,,,
02282,AK,"Yakutat Borough/city, AK",312,296,16,5.1,"73,014",93.1
